ANNO;CODI_TIPO_VOCE_SPESA;CODI_VOCE_SPESA;DESC_VOCE_SPESA;FLAG_SEGNO
2017;I;340;"INDENNITA' DI ENTE MENSILE";+
2017;I;330;"INDENNITA' DI ENTE ANNUALE";+
2017;S;201;"INDENNITA' DI TURNO";+
2017;I;305;"INDENNITA' DI POSIZIONE";+
2017;I;145;"INDENNITA' DI RESPONSABILITA'";+
2017;I;139;IND. DELLA VALORIZZAZIONE PROFESSIONALE;+
2017;I;147;"INDENNITA' RESPONSABILITA' PROFESSIONALE";+
2017;I;148;INDENN. PER ONERI SPECIFICI;+
2017;I;149;INDENN. STRUTTURE PARTIC. RILIEVO E ART. 22 DPR 171/91;+
2017;I;146;"INDENNITA' DI RISCHIO DA RADIAZIONI";+
2017;I;224;"INDENNITA' MENSILE";+
2017;I;129;IND. AREA DIRETTIVA E POSIZIONI PARTICOLARI;+
2017;S;130;"INDENNITA' DI AMMINISTRAZIONE";+
2017;I;144;"INDENNITA' DI ENTE";+
2017;S;670;PROGETTI SPECIALI ( ART.18 L.88/89 );+
2017;I;519;"IND. PERSONALE ALL'ESTERO (L.642/61 E L.1114/62)";+
2017;I;521;IMPORTO AGGIUNTIVO PENSIONABILE;+
2017;I;516;IND. OPERATIVE FONDAMENTALI;+
2017;I;836;"INDENNITA' OPERATIVE SUPPLEMENTARI";+
2017;S;635;COMPENSO FORFETTARIO DI GUARDIA E IMPIEGO;+
2017;I;837;"INDENNITA' DI POSIZIONE E PEREQUATIVA";+
2017;S;309;"INDENNITA' FESTIVA";+
2017;S;629;FONDO EFFICIENZA SERVIZI ISTITUZIONALI;+
2017;I;517;IND. PROV. DA PROVV. SPECIFICI;+
2017;I;515;ASS. FUNZIONALE E OMOGEN. STIP.;+
2017;S;603;"TRATTAM. ACCESS. ALL'ESTERO";+
2017;I;402;IND.SECONDA LINGUA;+
2017;I;514;IND. PENSIONABILE;+
2017;I;110;"INDENNITA' DI AMMINISTRAZIONE";+
2017;I;156;INDENNITÀ DI PRONTA REPERIBILITÀ;+
2017;I;102;IND. DI GABINETTO;+
2017;I;126;INDENNITÀ DI TURNAZIONE;+
2017;I;426;"INDENNITA' PROFESSIONALI";+
2017;I;106;"INDENNITA' DI ISTITUTO";+
2017;I;105;"INDENNITA' PROVINCIALE";+
2017;I;602;ASSEGNO AGGIUNTIVO;+
2017;I;530;"INDENNITA' RETTORALE";+
2017;S;611;SUPPLENZE;+
2017;I;240;UNA TANTUM PROFESSORI E RICERCATORI;+
2017;I;304;"INDENNITA' DI ATENEO";+
2017;I;315;"INDENNITA' ACCESSORIA MENSILE";+
2017;I;400;"INDENNITA' FISSE";+
2017;S;400;COMPENSI ACCESSORI;+
2017;S;129;IND. DIREZIONE INCARIC. DELLA DIRIG.;+
2017;I;131;COMPENSO ORE ECCEDENTI;+
2017;S;128;IND. DI FUNZIONI SUP. E DI REGGENZA;+
2017;I;155;RETRIB. PROF.LE DOCENTI;+
2017;S;127;"ATTIVITA' AGGIUNTIVE";+
2017;S;124;"INDENNITA' DI ESAME";+
2017;I;152;C.I.A. COMP. INDIV. ACCESSORIO-INDENN. DIREZ. DSGA P. FISSA;+
2017;I;128;ASSEGNO MAGISTRATI;+
2017;I;154;ALTRE ORE ECCEDENTI;+
2017;I;153;ORE ECCEDENTI ISTITUZIONALI;+
2017;S;135;COMP. IND. MIGLIORAMENTO OFFERTA FORMATIVA;+
2017;I;518;IND. EXTRACONTR. NON FINANZ. CON FUA;+
2017;S;760;"INDENNITA' UFFICI DIRETTA COLLABORAZIONE MINISTRO";+
2017;S;708;"INCENTIVI ALLA MOBILITA'";+
2017;S;308;"INDENNITA' NOTTURNA";+
2017;S;625;"FESTIVITA' PARTICOLARI";+
2017;S;219;COMPENSI SERVIZI ESTERNI;+
2017;S;305;"INDENNITA' DI ORDINE PUBBLICO E SICUREZZA PUBBLICA";+
2017;I;513;ASSEGNO FUNZIONALE;+
2017;I;307;SUPERMINIMO;+
2017;I;160;"INDENNITA' DI PROFESSIONALITA'";+
2017;I;101;IND. DI FUNZIONE;+
2017;I;436;"INDENNITA' FORESTALE";+
2017;S;290;ASSEGNI UNA TANTUM EX DPCM 27.10.2011;+
2017;S;207;"INDENNITA' SERVIZIO NOTTURNO E FESTIVO";+
2017;S;315;"INDENNITA' AERONAUTICA";+
2017;I;303;"INDENNITA' DI RISCHIO";+
2017;I;320;"MAGGIORAZIONI INDENNITA' DI RISCHIO";+
2017;S;250;"INDENNITA' OPERATIVA PER IL SOCCORSO ESTERNO";+
2017;I;211;"INDENNITA' MENSILE OPERATORI SUBACQUEI";+
2017;I;209;IND. NOTTURNA E FESTIVA;+
2017;I;210;"INDENNITA' MENSILE DI VOLO";+
2017;I;807;SPECIALE TRATTAMENTO ECONOMICO;+
2017;I;470;"INDENNITA' PENSIONABILE L.121/81";+
2017;S;619;"IND. SERVIZIO ALL'ESTERO";+
2017;T;105;STRAORDINARIO PERSONALE MILITARE;+
2017;S;230;SPECIFICO COMP. ACCESS. ART.83 C.6  CCNL 02/05;+
2017;I;109;"INDENNITA' DI PRESIDENZA";+
2017;I;840;ASSEGNO OMNICOMPRENSIVO;+
2017;L;105;SOMME CORRISPOSTE AD AGENZIA DI SOMMINISTRAZIONE(INTERINALI);+
2017;L;110;ALTRE SPESE;+
2017;L;005;ASSEGNI PER IL NUCLEO FAMILIARE;+
2017;L;020;FORMAZIONE DEL PERSONALE;+
2017;L;109;INCARICHI LIBERO PROFESSIONALI/STUDIO/RICERCA/CONSULENZA;+
2017;L;115;CONTRATTI PER RESA SERVIZI/ADEMPIMENTI OBBLIGATORI PER LEGGE;+
2017;P;015;RETRIBUZIONI PERSONALE  A TEMPO DETERMINATO;+
2017;P;030;"INDENNITA' DI MISSIONE E TRASFERIMENTO";+
2017;P;055;"CONTRIBUTI A CARICO DELL'AMM.NE SU COMP. FISSE E ACCESSORIE";+
2017;P;061;IRAP;+
2017;P;062;ONERI PER I CONTRATTI DI SOMMINISTRAZIONE(INTERINALI);+
2017;P;090;RIMBORSI RICEVUTI PER PERS. COMAND./FUORI RUOLO/IN CONV. (-);-
2017;P;099;ALTRI RIMBORSI RICEVUTI DALLE AMMINISTRAZIONI (-);-
2017;P;058;QUOTE ANNUE ACCANTONAMENTO TFR O ALTRA IND. FINE SERVIZIO;+
2017;P;065;COMPENSI PER PERSONALE LSU/LPU;+
2017;P;071;SOMME RIMBORSATE PER PERSONALE COMAND./FUORI RUOLO/IN CONV.;+
2017;L;011;EROGAZIONE BUONI PASTO;+
2017;L;108;CONTRATTI DI COLLABORAZIONE COORDINATA E CONTINUATIVA;+
2017;L;107;COPERTURE ASSICURATIVE;+
2017;P;035;"CONTRIBUTI A CARICO DELL'AMM. PER FONDI PREV. COMPLEMENTARE";+
2017;L;090;BENESSERE DEL PERSONALE;+
2017;P;074;ALTRE SOMME RIMBORSATE ALLE AMMINISTRAZIONI;+
2017;P;098;SOMME RICEVUTE DA U.E. E/O PRIVATI (-);-
2017;P;091;ACCANTONAMENTI PER RINNOVI CONTRATTUALI;+
2017;P;016;RETRIBUZIONI PERSONALE CON CONTRATTO DI FORMAZIONE E LAVORO;+
2017;P;096;RIMBORSI RICEVUTI DA ENTI SSN PER IND. DE MARIA (-);-
2017;L;010;GESTIONE MENSE;+
2017;P;095;RIMBORSI RICEVUTI  DALLA REGIONE PER LA PEREQUAZIONE STIPEND;-
2017;P;092;COMPENSI AGGIUNTIVI PER LA DIRIGENZA MEDICA E VETERINARIA;+
2017;P;094;COMP.AGGIUNTIVI PERS.INFERM.CO E TECN.SAN.DI RADIOL.MED.;+
2017;L;100;EQUO INDENNIZZO AL PERSONALE;+
2017;P;072;SOMME RIMBORSATE ALLE UNIVERSITÀ PER INDENNITÀ DE MARIA;+
2017;P;093;COMPENSI AGGIUNTIVI PER LA DIRIGENZA DEL RUOLO SANITARIO;+
