ANNO;CODI_TIPO_VOCE_SPESA;CODI_VOCE_SPESA;DESC_VOCE_SPESA;FLAG_SEGNO
2021;S;203;ALTRI COMPENSI ACCESSORI PERSONALE UNIVERSITARIO;+
2021;I;421;"INDENNITA' DE MARIA";+
2021;S;772;"INDENNITA' D'INCARICO";+
2021;I;139;IND. DELLA VALORIZZAZIONE PROFESSIONALE;+
2021;I;149;INDENN. STRUTTURE PARTIC. RILIEVO E ART. 22 DPR 171/91;+
2021;I;148;INDENN. PER ONERI SPECIFICI;+
2021;I;147;"INDENNITA' RESPONSABILITA' PROFESSIONALE";+
2021;I;146;"INDENNITA' DI RISCHIO DA RADIAZIONI";+
2021;S;201;"INDENNITA' DI TURNO";+
2021;I;145;"INDENNITA' DI RESPONSABILITA'";+
2021;I;340;"INDENNITA' DI ENTE MENSILE";+
2021;I;110;"INDENNITA' DI AMMINISTRAZIONE";+
2021;I;102;IND. DI GABINETTO;+
2021;I;514;IND. PENSIONABILE;+
2021;I;436;"INDENNITA' FORESTALE";+
2021;I;106;"INDENNITA' DI ISTITUTO";+
2021;I;402;IND.SECONDA LINGUA;+
2021;S;708;"INCENTIVI ALLA MOBILITA'";+
2021;I;530;"INDENNITA' RETTORALE";+
2021;I;304;"INDENNITA' DI ATENEO";+
2021;I;315;"INDENNITA' ACCESSORIA MENSILE";+
2021;S;611;SUPPLENZE;+
2021;S;400;COMPENSI ACCESSORI;+
2021;I;400;"INDENNITA' FISSE";+
2021;I;602;ASSEGNO AGGIUNTIVO;+
2021;I;240;UNA TANTUM PROFESSORI E RICERCATORI;+
2021;S;760;"INDENNITA' UFFICI DIRETTA COLLABORAZIONE MINISTRO";+
2021;S;603;"TRATTAM. ACCESS. ALL'ESTERO";+
2021;I;518;IND. EXTRACONTR. NON FINANZ. CON FUA;+
2021;S;124;"INDENNITA' DI ESAME";+
2021;S;135;COMP. IND. MIGLIORAMENTO OFFERTA FORMATIVA;+
2021;S;128;IND. DI FUNZIONI SUP. E DI REGGENZA;+
2021;I;154;ALTRE ORE ECCEDENTI;+
2021;I;153;ORE ECCEDENTI ISTITUZIONALI;+
2021;I;155;RETRIB. PROF.LE DOCENTI;+
2021;I;152;C.I.A. COMP. INDIV. ACCESSORIO-INDENN. DIREZ. DSGA P. FISSA;+
2021;S;129;IND. DIREZIONE INCARIC. DELLA DIRIG.;+
2021;I;330;"INDENNITA' DI ENTE ANNUALE";+
2021;I;305;"INDENNITA' DI POSIZIONE";+
2021;I;517;IND. PROV. DA PROVV. SPECIFICI;+
2021;I;128;ASSEGNO MAGISTRATI;+
2021;S;709;INCENTIVI ALLA MOBILITÀ TERRITORIALE;+
2021;I;126;INDENNITÀ DI TURNAZIONE;+
2021;I;156;INDENNITÀ DI PRONTA REPERIBILITÀ;+
2021;S;127;"ATTIVITA' AGGIUNTIVE";+
2021;I;131;COMPENSO ORE ECCEDENTI;+
2021;I;837;"INDENNITA' DI POSIZIONE E PEREQUATIVA";+
2021;I;101;IND. DI FUNZIONE;+
2021;I;160;"INDENNITA' DI PROFESSIONALITA'";+
2021;I;307;SUPERMINIMO;+
2021;S;309;"INDENNITA' FESTIVA";+
2021;S;308;"INDENNITA' NOTTURNA";+
2021;S;625;"FESTIVITA' PARTICOLARI";+
2021;S;219;COMPENSI SERVIZI ESTERNI;+
2021;I;516;IND. OPERATIVE FONDAMENTALI;+
2021;I;519;"IND. PERSONALE ALL'ESTERO (L.642/61 E L.1114/62)";+
2021;I;513;ASSEGNO FUNZIONALE;+
2021;S;619;"IND. SERVIZIO ALL'ESTERO";+
2021;S;315;"INDENNITA' AERONAUTICA";+
2021;I;303;"INDENNITA' DI RISCHIO";+
2021;S;207;"INDENNITA' SERVIZIO NOTTURNO E FESTIVO";+
2021;I;836;"INDENNITA' OPERATIVE SUPPLEMENTARI";+
2021;S;635;COMPENSO FORFETTARIO DI GUARDIA E IMPIEGO;+
2021;I;521;IMPORTO AGGIUNTIVO PENSIONABILE;+
2021;S;629;FONDO EFFICIENZA SERVIZI ISTITUZIONALI;+
2021;I;840;ASSEGNO OMNICOMPRENSIVO;+
2021;I;470;"INDENNITA' PENSIONABILE L.121/81";+
2021;I;105;"INDENNITA' PROVINCIALE";+
2021;S;305;"INDENNITA' DI ORDINE PUBBLICO E SICUREZZA PUBBLICA";+
2021;I;221;"ASSEGNO DI SPECIFICITA'";+
2021;T;117;STRAORDINARIO CONTO TERZI;+
2021;I;210;"INDENNITA' MENSILE DI VOLO";+
2021;I;209;IND. NOTTURNA E FESTIVA;+
2021;S;250;"INDENNITA' OPERATIVA PER IL SOCCORSO ESTERNO";+
2021;I;211;"INDENNITA' MENSILE OPERATORI SUBACQUEI";+
2021;I;320;"MAGGIORAZIONI INDENNITA' DI RISCHIO";+
2021;I;109;"INDENNITA' DI PRESIDENZA";+
2021;S;230;SPECIFICO COMP. ACCESS. ART.83 C.6  CCNL 02/05;+
2021;T;105;STRAORDINARIO PERSONALE MILITARE;+
2021;I;841;INDENNITÀ QUALIFICHE PROFESSIONALI CYBER;+
2021;I;807;SPECIALE TRATTAMENTO ECONOMICO;+
2021;S;115;"RETRIBUZIONE POSIZIONE ORGANIZZATIVA ELEVATA RESPONSABILITA'";+
2021;P;061;IRAP;+
2021;P;071;SOMME RIMBORSATE PER PERSONALE COMAND./FUORI RUOLO/IN CONV.;+
2021;P;090;RIMBORSI RICEVUTI PER PERS. COMAND./FUORI RUOLO/IN CONV. (-);-
2021;L;005;ASSEGNI PER IL NUCLEO FAMILIARE;+
2021;L;108;CONTRATTI DI COLLABORAZIONE COORDINATA E CONTINUATIVA;+
2021;L;109;INCARICHI LIBERO PROFESSIONALI/STUDIO/RICERCA/CONSULENZA;+
2021;L;115;CONTRATTI PER RESA SERVIZI/ADEMPIMENTI OBBLIGATORI PER LEGGE;+
2021;L;110;ALTRE SPESE;+
2021;P;035;"CONTRIBUTI A CARICO DELL'AMM. PER FONDI PREV. COMPLEMENTARE";+
2021;P;055;"CONTRIBUTI A CARICO DELL'AMM.NE SU COMP. FISSE E ACCESSORIE";+
2021;L;011;EROGAZIONE BUONI PASTO;+
2021;L;020;FORMAZIONE DEL PERSONALE;+
2021;L;107;COPERTURE ASSICURATIVE;+
2021;P;015;RETRIBUZIONI PERSONALE  A TEMPO DETERMINATO;+
2021;P;030;"INDENNITA' DI MISSIONE E TRASFERIMENTO";+
2021;P;074;ALTRE SOMME RIMBORSATE ALLE AMMINISTRAZIONI;+
2021;P;099;ALTRI RIMBORSI RICEVUTI DALLE AMMINISTRAZIONI (-);-
2021;L;105;SOMME CORRISPOSTE AD AGENZIA DI SOMMINISTRAZIONE(INTERINALI);+
2021;P;062;ONERI PER I CONTRATTI DI SOMMINISTRAZIONE(INTERINALI);+
2021;L;090;BENESSERE DEL PERSONALE;+
2021;P;058;QUOTE ANNUE ACCANTONAMENTO TFR O ALTRA IND. FINE SERVIZIO;+
2021;P;065;COMPENSI PER PERSONALE LSU/LPU;+
2021;P;016;RETRIBUZIONI PERSONALE CON CONTRATTO DI FORMAZIONE E LAVORO;+
2021;L;010;GESTIONE MENSE;+
2021;P;098;SOMME RICEVUTE DA U.E. E/O PRIVATI (-);-
2021;P;096;RIMBORSI RICEVUTI DA ENTI SSN PER IND. DE MARIA (-);-
2021;P;095;RIMBORSI RICEVUTI  DALLA REGIONE PER LA PEREQUAZIONE STIPEND;-
2021;L;100;EQUO INDENNIZZO AL PERSONALE;+
2021;P;072;SOMME RIMBORSATE ALLE UNIVERSITÀ PER INDENNITÀ DE MARIA;+
2021;P;091;ACCANTONAMENTI PER RINNOVI CONTRATTUALI;+
2021;P;092;COMPENSI AGGIUNTIVI PER LA DIRIGENZA MEDICA E VETERINARIA;+
2021;P;094;COMP.AGGIUNTIVI PERS.INFERM.CO E TECN.SAN.DI RADIOL.MED.;+
2021;P;093;COMPENSI AGGIUNTIVI PER LA DIRIGENZA DEL RUOLO SANITARIO;+
