ANNO;CODI_TIPO_VOCE_SPESA;CODI_VOCE_SPESA;DESC_VOCE_SPESA;FLAG_SEGNO
2022;I;437;"INDENNITA' DI SPECIFICITA' INFERMIERISTICA";+
2022;S;820;COMPENSO PER TURNI DI GUARDIA NOTTURNI DIRIGENTI;+
2022;I;216;"INDENNITA' DI SPECIFICITA' MEDICO-VETERINARIA";+
2022;I;227;MAGGIORAZIONE RETRIB. DI POSIZIONE DIRETTORE DIPARTIMENTO;+
2022;I;204;"INDENNITA' DI ESCLUSIVITA'";+
2022;I;303;"INDENNITA' DI RISCHIO";+
2022;S;315;"INDENNITA' AERONAUTICA";+
2022;I;315;"INDENNITA' ACCESSORIA MENSILE";+
2022;I;145;"INDENNITA' DI RESPONSABILITA'";+
2022;I;304;"INDENNITA' DI ATENEO";+
2022;S;611;SUPPLENZE;+
2022;I;146;"INDENNITA' DI RISCHIO DA RADIAZIONI";+
2022;I;530;"INDENNITA' RETTORALE";+
2022;I;156;INDENNITÀ DI PRONTA REPERIBILITÀ;+
2022;I;126;INDENNITÀ DI TURNAZIONE;+
2022;I;102;IND. DI GABINETTO;+
2022;I;148;INDENN. PER ONERI SPECIFICI;+
2022;I;149;INDENN. STRUTTURE PARTIC. RILIEVO E ART. 22 DPR 171/91;+
2022;I;139;IND. DELLA VALORIZZAZIONE PROFESSIONALE;+
2022;I;147;"INDENNITA' RESPONSABILITA' PROFESSIONALE";+
2022;I;131;COMPENSO ORE ECCEDENTI;+
2022;S;129;IND. DIREZIONE INCARIC. DELLA DIRIG.;+
2022;I;155;RETRIB. PROF.LE DOCENTI;+
2022;S;127;"ATTIVITA' AGGIUNTIVE";+
2022;S;128;IND. DI FUNZIONI SUP. E DI REGGENZA;+
2022;I;152;C.I.A. COMP. INDIV. ACCESSORIO-INDENN. DIREZ. DSGA P. FISSA;+
2022;S;124;"INDENNITA' DI ESAME";+
2022;I;602;ASSEGNO AGGIUNTIVO;+
2022;I;240;UNA TANTUM PROFESSORI E RICERCATORI;+
2022;I;340;"INDENNITA' DI ENTE MENSILE";+
2022;I;330;"INDENNITA' DI ENTE ANNUALE";+
2022;S;193;"INDENNITA' DI FUNZIONE TECNICA E PROFESSIONALE";+
2022;T;117;STRAORDINARIO CONTO TERZI;+
2022;I;210;"INDENNITA' MENSILE DI VOLO";+
2022;I;209;IND. NOTTURNA E FESTIVA;+
2022;I;221;"ASSEGNO DI SPECIFICITA'";+
2022;S;191;"INDENNITA' DI IMPIEGO OPERATIVO";+
2022;S;192;"INDENNITA' DI SERVIZIO OPERATIVO";+
2022;S;194;FONDO DI AMMINISTRAZIONE;+
2022;I;840;ASSEGNO OMNICOMPRENSIVO;+
2022;I;837;"INDENNITA' DI POSIZIONE E PEREQUATIVA";+
2022;I;305;"INDENNITA' DI POSIZIONE";+
2022;S;135;COMP. IND. MIGLIORAMENTO OFFERTA FORMATIVA;+
2022;I;153;ORE ECCEDENTI ISTITUZIONALI;+
2022;I;154;ALTRE ORE ECCEDENTI;+
2022;I;128;ASSEGNO MAGISTRATI;+
2022;I;105;"INDENNITA' PROVINCIALE";+
2022;I;307;SUPERMINIMO;+
2022;I;160;"INDENNITA' DI PROFESSIONALITA'";+
2022;I;101;IND. DI FUNZIONE;+
2022;S;709;INCENTIVI ALLA MOBILITÀ TERRITORIALE;+
2022;I;517;IND. PROV. DA PROVV. SPECIFICI;+
2022;S;309;"INDENNITA' FESTIVA";+
2022;I;516;IND. OPERATIVE FONDAMENTALI;+
2022;I;836;"INDENNITA' OPERATIVE SUPPLEMENTARI";+
2022;I;524;ASSEGNO PENSIONABILE L.427/96;+
2022;I;519;"IND. PERSONALE ALL'ESTERO (L.642/61 E L.1114/62)";+
2022;S;635;COMPENSO FORFETTARIO DI GUARDIA E IMPIEGO;+
2022;I;521;IMPORTO AGGIUNTIVO PENSIONABILE;+
2022;I;513;ASSEGNO FUNZIONALE;+
2022;S;629;FONDO EFFICIENZA SERVIZI ISTITUZIONALI;+
2022;S;219;COMPENSI SERVIZI ESTERNI;+
2022;S;308;"INDENNITA' NOTTURNA";+
2022;S;625;"FESTIVITA' PARTICOLARI";+
2022;S;305;"INDENNITA' DI ORDINE PUBBLICO E SICUREZZA PUBBLICA";+
2022;I;470;"INDENNITA' PENSIONABILE L.121/81";+
2022;I;841;INDENNITÀ QUALIFICHE PROFESSIONALI CYBER;+
2022;I;845;INDENNITÀ SPECIFICITÀ CORPO POLIZIA PENITENZIARIA;+
2022;I;839;INDENNITÀ ATTIVITÀ DI CONTROLLO DEL TERRITORIO;+
2022;S;619;"IND. SERVIZIO ALL'ESTERO";+
2022;T;105;STRAORDINARIO PERSONALE MILITARE;+
2022;I;109;"INDENNITA' DI PRESIDENZA";+
2022;S;230;SPECIFICO COMP. ACCESS. ART.83 C.6  CCNL 02/05;+
2022;I;807;SPECIALE TRATTAMENTO ECONOMICO;+
2022;I;211;"INDENNITA' MENSILE OPERATORI SUBACQUEI";+
2022;S;195;"FONDO DI PRODUTTIVITA'";+
2022;S;115;"RETRIBUZIONE POSIZIONE ORGANIZZATIVA ELEVATA RESPONSABILITA'";+
2022;P;055;"CONTRIBUTI A CARICO DELL'AMM.NE SU COMP. FISSE E ACCESSORIE";+
2022;P;061;IRAP;+
2022;L;110;ALTRE SPESE;+
2022;P;099;ALTRI RIMBORSI RICEVUTI DALLE AMMINISTRAZIONI (-);-
2022;L;005;ASSEGNI PER IL NUCLEO FAMILIARE;+
2022;P;015;RETRIBUZIONI PERSONALE  A TEMPO DETERMINATO;+
2022;L;011;EROGAZIONE BUONI PASTO;+
2022;L;090;BENESSERE DEL PERSONALE;+
2022;L;107;COPERTURE ASSICURATIVE;+
2022;L;109;INCARICHI LIBERO PROFESSIONALI/STUDIO/RICERCA/CONSULENZA;+
2022;L;115;CONTRATTI PER RESA SERVIZI/ADEMPIMENTI OBBLIGATORI PER LEGGE;+
2022;P;030;"INDENNITA' DI MISSIONE E TRASFERIMENTO";+
2022;P;035;"CONTRIBUTI A CARICO DELL'AMM. PER FONDI PREV. COMPLEMENTARE";+
2022;P;058;QUOTE ANNUE ACCANTONAMENTO TFR O ALTRA IND. FINE SERVIZIO;+
2022;L;020;FORMAZIONE DEL PERSONALE;+
2022;L;105;SOMME CORRISPOSTE AD AGENZIA DI SOMMINISTRAZIONE(INTERINALI);+
2022;P;062;ONERI PER I CONTRATTI DI SOMMINISTRAZIONE(INTERINALI);+
2022;P;090;RIMBORSI RICEVUTI PER PERS. COMAND./FUORI RUOLO/IN CONV. (-);-
2022;P;016;RETRIBUZIONI PERSONALE CON CONTRATTO DI FORMAZIONE E LAVORO;+
2022;P;071;SOMME RIMBORSATE PER PERSONALE COMAND./FUORI RUOLO/IN CONV.;+
2022;P;098;SOMME RICEVUTE DA U.E. E/O PRIVATI (-);-
2022;P;074;ALTRE SOMME RIMBORSATE ALLE AMMINISTRAZIONI;+
2022;P;091;ACCANTONAMENTI PER RINNOVI CONTRATTUALI;+
2022;L;108;CONTRATTI DI COLLABORAZIONE COORDINATA E CONTINUATIVA;+
2022;P;065;COMPENSI PER PERSONALE LSU/LPU;+
2022;L;100;EQUO INDENNIZZO AL PERSONALE;+
2022;L;010;GESTIONE MENSE;+
2022;P;072;SOMME RIMBORSATE ALLE UNIVERSITÀ PER INDENNITÀ DE MARIA;+
2022;P;092;COMPENSI AGGIUNTIVI PER LA DIRIGENZA MEDICA E VETERINARIA;+
2022;P;093;COMPENSI AGGIUNTIVI PER LA DIRIGENZA DEL RUOLO SANITARIO;+
2022;P;094;COMP.AGGIUNTIVI PERS.INFERM.CO E TECN.SAN.DI RADIOL.MED.;+
2022;P;095;RIMBORSI RICEVUTI  DALLA REGIONE PER LA PEREQUAZIONE STIPEND;-
2022;P;096;RIMBORSI RICEVUTI DA ENTI SSN PER IND. DE MARIA (-);-
