ANNO|CODI_TIPO_VOCE_SPESA|CODI_VOCE_SPESA|DESC_VOCE_SPESA|FLAG_SEGNO
2015|P|095|RIMBORSI RICEVUTI  DALLA REGIONE PER LA PEREQUAZIONE STIPEND|-
2015|S|124|INDENNITA' DI ESAME|+
2015|S|127|ATTIVITA' AGGIUNTIVE|+
2015|S|128|IND. DI FUNZIONI SUP. E DI REGGENZA|+
2015|S|129|IND. DIREZIONE INCARIC. DELLA DIRIG.|+
2015|S|130|INDENNITA' DI AMMINISTRAZIONE|+
2015|S|135|COMP. IND. MIGLIORAMENTO OFFERTA FORMATIVA|+
2015|S|201|INDENNITA' DI TURNO|+
2015|S|204|PRONTA DISPONIBILITA'|+
2015|S|207|INDENNITA' SERVIZIO NOTTURNO E FESTIVO|+
2015|S|212|ALTRI COMPENSI PER PARTICOLARI CONDIZIONI DI LAVORO|+
2015|S|219|COMPENSI SERVIZI ESTERNI|+
2015|S|305|INDENNITA' DI ORDINE PUBBLICO E SICUREZZA PUBBLICA|+
2015|S|308|INDENNITA' NOTTURNA|+
2015|S|309|INDENNITA' FESTIVA|+
2015|S|315|INDENNITA' AERONAUTICA|+
2015|S|400|COMPENSI ACCESSORI|+
2015|S|603|TRATTAM. ACCESS. ALL'ESTERO|+
2015|S|604|COMPENSI ONERI RISCHI E DISAGI|+
2015|S|611|SUPPLENZE|+
2015|S|615|FONDO SPECIF. RESPONSAB.|+
2015|S|616|INDENNITA'  FUNZIONE POSIZIONI ORGANIZZATIVE|+
2015|S|619|IND. SERVIZIO ALL'ESTERO|+
2015|S|625|FESTIVITA' PARTICOLARI|+
2015|S|630|COMPENSI PRODUTTIVITA' |+
2015|S|635|COMPENSO FORFETTARIO DI GUARDIA E IMPIEGO|+
2015|S|708|INCENTIVI ALLA MOBILITA'|+
2015|S|806|INDENNITA' DI COORDINAMENTO|+
2015|S|998|ARRETRATI ANNI PRECEDENTI|+
2015|S|999|ALTRE SPESE ACCESSORIE ED INDENNITA' VARIE|+
2015|T|101|STRAORDINARIO|+
2015|I|105|INDENNITA' PROVINCIALE|+
2015|S|997|ARRETRATI A.P. PER COMPENSI RISULTATO/PRODUTTIVITÀ|+
2015|L|109|INCARICHI LIBERO PROFESSIONALI/STUDIO/RICERCA/CONSULENZA|+
2015|S|820|COMPENSO PER TURNI DI GUARDIA NOTTURNI DIRIGENTI|+
2015|P|065|COMPENSI PER PERSONALE LSU/LPU|+
2015|P|071|SOMME RIMBORSATE PER PERSONALE COMAND./FUORI RUOLO/IN CONV.|+
2015|P|090|RIMBORSI RICEVUTI PER PERS. COMAND./FUORI RUOLO/IN CONV. (-)|-
2015|S|606|PRODUTTIVITA' COLLETTIVA|+
2015|I|516|IND. OPERATIVE FONDAMENTALI|+
2015|I|147|INDENNITA' RESPONSABILITA' PROFESSIONALE|+
2015|I|149|INDENN. STRUTTURE PARTIC. RILIEVO E ART. 22 DPR 171/91|+
2015|I|152|C.I.A. COMP. INDIV. ACCESSORIO-INDENN. DIREZ. DSGA P. FISSA|+
2015|S|629|FONDO EFFICIENZA SERVIZI ISTITUZIONALI|+
2015|I|303|INDENNITA' DI RISCHIO|+
2015|I|519|IND. PERSONALE ALL'ESTERO (L.642/61 E L.1114/62)|+
2015|I|526|INDENNITA' DI QUALIFICAZIONE PROF.LE|+
2015|I|533|INDENNITA' PROFESSIONALE SPECIFICA|+
2015|P|072|SOMME RIMBORSATE ALLE UNIVERSITÀ PER INDENNITÀ DE MARIA|+
2015|P|096|RIMBORSI RICEVUTI DA ENTI SSN PER IND. DE MARIA (-)|-
2015|L|115|CONTRATTI PER RESA SERVIZI/ADEMPIMENTI OBBLIGATORI PER LEGGE|+
2015|S|660|PRODUTTIVITA' PROGETTI|+
2015|S|720|INCENTIVI PER FUNZIONI TECNICHE|+
2015|S|670|PROGETTI SPECIALI ( ART.18 L.88/89 )|+
2015|S|740|DIRITTI DI ROGITO-SEGRETERIA CONV.- IND.SCAVALCO|+
2015|S|750|ONORARI AVVOCATI|+
2015|I|436|INDENNITA' FORESTALE|+
2015|S|760|INDENNITA' UFFICI DIRETTA COLLABORAZIONE MINISTRO|+
2015|S|761|COMPETENZE PERSONALE COMANDATO/DISTACCATO PRESSO L'AMM.NE|+
2015|S|230|SPECIFICO COMP. ACCESS. ART.83 C.6  CCNL 02/05|+
2015|S|250|INDENNITA' OPERATIVA PER IL SOCCORSO ESTERNO|+
2015|I|240|UNA TANTUM PROFESSORI E RICERCATORI|+
2015|I|470|INDENNITA' PENSIONABILE L.121/81|+
2015|T|105|STRAORDINARIO PERSONALE MILITARE|+
2015|P|098|SOMME RICEVUTE DA U.E. E/O PRIVATI (-)|-
2015|S|290|ASSEGNI UNA TANTUM EX DPCM 27.10.2011|+
2015|P|074|ALTRE SOMME RIMBORSATE ALLE AMMINISTRAZIONI|+
2015|P|099|ALTRI RIMBORSI RICEVUTI DALLE AMMINISTRAZIONI (-)|-
2015|I|153|ORE ECCEDENTI ISTITUZIONALI|+
2015|I|154|ALTRE ORE ECCEDENTI|+
2015|I|424|INDENNITÀ ART. 42, COMMA 5-TER, D.LGS. 151/2001|+
2015|I|315|INDENNITA' ACCESSORIA MENSILE|+
2015|I|227|MAGGIORAZIONE RETRIB. DI POSIZIONE DIRETTORE DIPARTIMENTO|+
2015|I|330|INDENNITA' DI ENTE ANNUALE|+
2015|I|340|INDENNITA' DI ENTE MENSILE|+
2015|S|203|ALTRI COMPENSI ACCESSORI PERSONALE UNIVERSITARIO|+
2015|S|190|INDENNITA' DI STAFF/COLLABORAZIONE|+
2015|P|035|CONTRIBUTI A CARICO DELL'AMM. PER FONDI PREV. COMPLEMENTARE|+
2015|S|710|COMPENSO AGGIUNTIVO AL SEGR. COMUNALE QUALE DIR. GENERALE|+
